Timestamp,I understand that the information I provide in this form will be made publicly available.,"Q1: What information would you like us to know about your needs, priorities, desires and concerns for the citizen science platform?",Q2: Do you have a personal connection to autism?,Q3: Can we use the information above to inform how we design and build the platform?
12/21/2019 19:50:11,Yes,"I was invited to attend the recently completed Westminster City Hall for a Equality and Diversity day in my capacity as a Human book. Despite using Google images /maps prior to travel l found their lobby was identical to two other buildings on the same road with no outside or visible signage to indicate it was the town hall. Upon entry I found two receptionists who were both occupied. One with a visitor being verified for security, the other talking to other staff about their computer terminal being down. Neither acknowledged my presence with a polite nod or diverted from their conversation when l asked politely if was in the right place and where could l sign in. The computer lady shooed me over to the First Lady who just ignored me. Eventually she lifted her head and told me to sit on chairs across the lobby with a vast amount of people pushing past me at 9 am to go through the same security barriers l wanted to use. I politely refused to do that announcing my Autism, my anxiety and that l knew where l needed to be on 19 th floor. Could they kindly call my hosts, ( their employers! )as l did not want to be late. They assisted two other people before eventually doing that. I was agitated, angry and had to ask for assistance at the lift bank as we did not get a prod pass to use them. The Council received my feedback as part of the event. I am assured they will use digital check ins as part of better inclusion. ","I am autistic, I am a parent/ guardian of someone autistic, I know someone who is autistic",Yes
1/28/2020 6:34:53,Yes,NA,Prefer not to say,Yes
2/26/2020 22:13:56,Yes,I wanted to bring SAP's efforts to support autism in the workplace to your attention. This is a model that resonated with my own experiences working with and managing autistic developers. Please see https://news.sap.com/2019/10/workplace-neurodiversity-autism-at-work-program/ etc.,"I know someone who is autistic, I have another personal connection to autism",Yes
5/11/2020 14:45:18,Yes,To document peoples experience,I am autistic,Yes
5/19/2020 12:32:14,Yes,To document peoples experience,I am autistic,Yes
5/21/2020 15:11:44,Yes,To document peoples experience,I am autistic,Yes
5/28/2020 15:38:19,Yes,To document peoples experience,I am autistic,Yes
6/3/2020 10:49:57,Yes,,I am autistic,Yes
6/8/2020 13:33:53,Yes,To document peoples experience,I am autistic,Yes
6/12/2020 14:49:22,Yes,"Audio, video/visual, and written versions of information, or even just knowing that there is a platform available to access where these sorts of types of information is available can be really helpful, sometimes having to work things out with how one's mind processes information can get really overloaded from the initial conception, one's brain can have blanks or vast overloads of stimulus and information that in many ways can cause one to pull back or even feel suffocated to the extent one just wishes not to be doing whatever it is that one's doing, having multiple options to consider data/information from, even written data available in different fonts, with audio or video of the same, can make it so much easier to digest information. If you can see it, hear it, and even read it in a kind of prompted sense, which technology is slowly recognising, then it can improve the chances one has with taking in a subject. Study is one thing, but sometimes when you have to study yourself first, before you can even study gets to be another layer that really adds to the matrix of being Autistic and coping in a world that seems so far removed from how you may be.",I am autistic,Yes
6/12/2020 15:59:54,Yes,As someone with Asperger's I have particular issues in taking part in groups and meeting people. Social situations create great deal of anxiety,I am autistic,Yes
6/14/2020 17:50:55,Yes,,I am autistic,Yes
6/18/2020 14:54:36,Yes,"I’m here to learn about the experience of autistic people. I’d especially like to learn how to make it comfortable for them as a piano teacher, how to structure the lessons and provide feedback in a productive and useful way. ",I have no personal connection to autism,Yes
6/23/2020 14:16:17,Yes,To document peoples experience,I am autistic,Yes
7/8/2020 16:53:54,Yes,,"I am a parent/ guardian of someone autistic, Someone in my family is autistic",Yes
7/8/2020 17:08:35,Yes,,"I am autistic, I am a parent/ guardian of someone autistic, Someone in my family is autistic, I know someone who is autistic",Yes
7/8/2020 17:12:31,Yes,"Q: If the platform were to provide a feature of showing you locations of nearby relevant sanctuaries/safe, how many sanctuaries should, be shown at once in order to provide you sufficient choice but to not be too overwhelming at the same time? 

A: depends on density of where you are (urban or rural) but generally a choice of 5 should be enough without being overwhelming.

Q: If the platform were to provide a feature of showing you locations of nearby sanctuaries/safe spaces, how would you like to see these presented to you? e.g. pins on a map, a list or other. 

A: My personal preference is on a map but many people do not work well with geo-spatial information so a list should also be available.","I am autistic, I am a parent/ guardian of someone autistic, Someone in my family is autistic, I know someone who is autistic",Yes
7/8/2020 17:17:18,Yes,"Q: When you want to view public experiences from others who have shared their experiences on the platform, what would be the easiest method for you to find relevant experiences?

A: I would expect to find both: i) experiences plotted on a map and ii) searchable by keyword, e.g. 'bus travel'.  To many people the location of someone else's experience will be relevant and helpful, but to others it won't be meaningful.  Classifying by the emotion felt would be another useful way of accessing others' experiences.","I am autistic, I am a parent/ guardian of someone autistic, Someone in my family is autistic, I know someone who is autistic",Yes
